,Column1,Column2,Column3,Column4,Column5,Column6,Column7
0,1020940734,uTytjeyBTFNgdvm,yr,681395417638935443,767605567851406043,1970-08-07,1970-01-01 00:00:00.328
1,417405374,SyuORPARxRcZzNB,Zx,356114295728349784,360897456864370404,1970-02-03,1970-01-01 00:00:00.069
2,1518593208,BoAkefPgeKyOLYg,Am,634810907702452802,765824415981572706,1970-10-27,1970-01-01 00:00:00.939
3,1835258235,XhtIIqwlNaDAosy,zM,756411740691127960,139003404853181757,1970-12-23,1970-01-01 00:00:00.964
4,1806756552,mAiRabGzTPflfRM,jm,807987877338048889,559332357846199737,1970-04-29,1970-01-01 00:00:00.936
5,403524837,jicBlQQwNTuKdXm,LK,645720301348015541,337326417491546279,1970-09-22,1970-01-01 00:00:00.115
6,1092559284,PhhjALsVtAUyQmN,mh,384226217223961938,370282685417002452,1970-02-20,1970-01-01 00:00:00.609
7,1314271657,dQGktbPivCaFwix,zx,297581045338506378,453729966713105390,1970-06-14,1970-01-01 00:00:00.337
8,155928820,KfNfjxUhsvAGIPC,uP,156539673427559875,9470022042584132,1970-07-23,1970-01-01 00:00:00.076
9,607839797,ixpktXQKYoCrtDB,Ve,724225000523995729,17369771399391843,1970-02-10,1970-01-01 00:00:00.412
